[2018-05-07 22:33:18,664]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:18,900]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:18,974]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:19,058]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:19,170]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:19,267]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:19,345]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:19,447]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:19,834]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:20,000]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:20,188]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:20,279]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:20,415]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:20,477]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:20,548]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:20,591]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:20,769]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:20,862]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:21,203]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:21,286]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:21,496]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:21,565]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:21,661]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:21,785]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:21,858]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:21,993]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:22,243]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:22,463]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:22,680]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:22,767]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:22,913]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:23,108]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:23,400]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:23,460]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:23,535]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:23,815]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:24,016]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:24,273]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:24,335]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:24,536]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:24,688]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:24,880]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:24,944]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:25,000]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:25,045]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:25,177]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:25,280]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:25,858]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:25,973]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:26,023]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:26,137]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:26,191]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:26,301]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:26,381]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:26,443]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:27,046]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:27,111]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:27,312]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:27,473]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:27,966]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:28,282]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:28,460]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:28,769]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:29,157]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:29,959]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:30,177]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:30,302]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:30,391]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:30,812]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:30,911]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:31,391]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:31,604]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:31,769]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:31,913]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:31,973]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:32,036]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:32,177]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:32,282]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:32,401]DEBUG | scrapy.downloadermiddlewares.retry: Retrying <GET https://nj.lianjia.com/ershoufang/103101943061.html> (failed 1 times): [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>]
[2018-05-07 22:33:32,434]DEBUG | scrapy.downloadermiddlewares.retry: Retrying <GET https://nj.lianjia.com/ershoufang/103101920100.html> (failed 1 times): [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>]
[2018-05-07 22:33:32,464]DEBUG | scrapy.downloadermiddlewares.retry: Retrying <GET https://nj.lianjia.com/ershoufang/103101901413.html> (failed 1 times): [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>]
[2018-05-07 22:33:32,489]DEBUG | scrapy.downloadermiddlewares.retry: Retrying <GET https://nj.lianjia.com/ershoufang/103101924345.html> (failed 1 times): [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>]
[2018-05-07 22:33:32,513]DEBUG | scrapy.downloadermiddlewares.retry: Retrying <GET https://nj.lianjia.com/ershoufang/103101933800.html> (failed 1 times): [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>]
[2018-05-07 22:33:32,640]DEBUG | scrapy.downloadermiddlewares.retry: Retrying <GET https://nj.lianjia.com/ershoufang/103101900594.html> (failed 1 times): [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>]
[2018-05-07 22:33:32,671]DEBUG | scrapy.downloadermiddlewares.retry: Retrying <GET https://nj.lianjia.com/ershoufang/103101913832.html> (failed 1 times): [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>]
[2018-05-07 22:33:32,680]DEBUG | scrapy.downloadermiddlewares.retry: Retrying <GET https://nj.lianjia.com/ershoufang/103101863381.html> (failed 1 times): [<twisted.python.failure.Failure twisted.internet.error.ConnectionLost: Connection to the other side was lost in a non-clean fashion: Connection lost.>]
[2018-05-07 22:33:36,282]INFO | ershoufang: Reading start URLs from redis key 'myspider:start_urls' (batch size: 16, encoding: utf-8
[2018-05-07 22:33:37,157]DEBUG | ershoufang: Resuming crawl (3337 requests scheduled)
[2018-05-07 22:33:37,157]INFO | scrapy.extensions.logstats: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
[2018-05-07 22:33:37,161]DEBUG | scrapy.extensions.telnet: Telnet console listening on 127.0.0.1:6023
[2018-05-07 22:33:39,282]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:39,631]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:39,858]INFO | ershoufang: #################################################################################parse_2 method running#################
[2018-05-07 22:33:39,954]INFO | ershoufang: #################################################################################parse_2 method running#################
